T_s,boundary_layer_depth,geostrophic_wind,ground_heat_flux,kh_surface,km_surface,max_shear,monin_obukhov_length,near_fold,net_radiation,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
278.0,1.0,10.0,23.999999999999996,0.005960172216033373,0.005960172216033373,0.07841720080263981,-0.043610693145947996,false,-38.658704395200004,1.7229549587885036,0.0341853125776047,7.173663279217666,-69.83236767441767,-0.0016849726051179706,0.0001235054494020532,0.07960133000665515,0.0,280.006,0.015401909548250334
277.9651666687336,1.0,10.0,23.58200002480339,0.006221481869452051,0.006221481869452051,0.15350576815620334,-0.23854520669384785,false,-38.48900088652357,4.126094419026222,0.02968702610457419,7.584496358582999,-69.65549726990996,-0.0014494349604359125,0.00014353320190976793,0.24569384049336226,10.0,279.996969948009,0.027645793297222433
277.9295776309047,1.0,10.0,23.15493157085643,0.01305144057466816,0.01305144057466816,0.17718217535427824,-1.2064388831096386,false,-38.315681550808165,4.036444991369061,0.03340401198472086,16.280456420171504,-77.7510695418361,-0.00020546203887561345,0.0009717349650981959,0.5742212977944381,20.0,280.0085890533131,0.06121443924791331
277.83664232132304,1.0,10.0,22.039707855876486,0.17055044807765724,0.17055044807765724,0.21604747979617644,-8.162944572384584,false,-37.86339855051142,4.1647520169670305,0.06696780171560153,189.43290237289426,-249.33600877928217,0.0015239492861821948,0.1829105931397988,0.8071825896518063,30.0,279.68783361113464,0.2623598219484067
277.70024075857214,1.0,10.0,20.40288910286563,0.23521207464143884,0.23521207464143884,0.2507193478415376,-13.75234025784598,false,-37.20040221359898,4.3740177082660425,0.11092611867993338,232.81205293738967,-290.4153442538543,0.0029001391464506796,0.3479885390205567,0.950790668027708,40.0,279.34990134177343,0.33439306629811927
277.5488452066763,1.0,10.0,18.586142480115313,0.27561747696364736,0.27561747696364736,0.27428563748957624,-18.363830969793483,false,-36.465668838713384,4.615295306073127,0.137043971585294,259.01244572690257,-314.06425704573127,0.0039824947997921765,0.47785169346256207,1.0564258108299922,50.0,279.11510078052646,0.38155564245614154
277.38678370650604,1.0,10.0,16.641404478072445,0.3032297254299296,0.3032297254299296,0.29134934154120556,-21.715676484845723,false,-35.68050410971722,4.880706701271595,0.13051711264194035,281.5055667275957,-333.82747531538536,0.004820591719534729,0.5784142279642304,1.1350759908900965,60.0,278.9340460795494,0.41484260934703243
277.21527177117457,1.0,10.0,14.58326125409485,0.3228416501961048,0.3228416501961048,0.304152972424843,-23.94976532678296,false,-34.85105092917843,5.14965427790822,0.12609873165484747,302.5926440946378,-352.0269562779111,0.005464407989226911,0.6556670878133941,1.1941897444584866,70.0,278.7774031541133,0.43905249557896975
277.03491653096216,1.0,10.0,12.418998371545966,0.3370538208399414,0.3370538208399414,0.31393340339993553,-25.308298006032075,false,-33.98048949813813,5.423826024104334,0.12385930332976365,322.8598968639422,-369.2593847336263,0.005956162082838766,0.7146744309038975,1.2391063546306975,80.0,278.6313969588227,0.45697129628420213
276.8461287864465,1.0,10.0,10.15354543735816,0.3474443360835553,0.3474443360835553,0.3214811465811351,-26.012673306189892,false,-33.07104453698406,5.71334955363835,0.1233570268007513,342.5659350698656,-385.7905250442078,0.0063290846148133725,0.759423073504266,1.273573501194488,90.0,278.4893940978118,0.4703700136999211
