T_s,below_radiative_floor,boundary_layer_depth,geostrophic_wind,ground_heat_flux,kh_surface,km_surface,max_shear,monin_obukhov_length,near_fold,net_radiation,radiative_equilibrium_temperature,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
264.0,false,1.0,8.0,23.999999999999996,0.008737936512779234,0.008737936512779234,0.045895865709521366,-0.04427745518110828,false,-30.422087987199973,256.3868557711529,24.40031568819556,0.17574217670049824,5.295189526744168,-59.71727751394414,-0.0007497225039046049,0.0002767218614839681,0.0464727612222946,0.0,265.01,0.014249140976458175
263.91080980143624,false,1.0,8.0,22.929717617234928,0.01062076009333076,0.01062076009333076,0.11135113111551308,-0.7040414680399671,false,-30.050080336831513,256.3868557711529,40.32221909481964,0.12555234103566182,7.116929203720177,-60.09672715778662,-0.0004270539972033163,0.0004823569585761904,0.2944441370669456,30.0,265.0276365227474,0.03954251219052621
263.77071496182504,false,1.0,8.0,21.248579541900423,0.122294532011845,0.122294532011845,0.14954003684756256,-6.774433202644457,false,-29.466513103358466,256.3868557711529,35.79839587376882,0.23930227643623195,78.95638604917343,-129.67147869443232,0.0007691328328384519,0.09246630868740303,0.5754368813722579,60.0,264.846756339831,0.18758036159174
263.55307856245093,false,1.0,8.0,18.63694274941122,0.1761874607126153,0.1761874607126153,0.18298653407853124,-11.378817743392922,false,-28.561787725658974,256.3868557711529,35.480994694545224,0.2326937610005332,111.28838412511364,-158.48711460018382,0.001608065939831002,0.19299744817118214,0.7095030020311797,90.0,264.6058245380063,0.25000553223463984
263.2973466078184,false,1.0,8.0,15.568159293820598,0.2048344712900046,0.2048344712900046,0.20296761319594428,-13.5882897794322,false,-27.50155753162977,256.3868557711529,36.401657319304256,0.22084909024499239,139.106299984752,-182.17601681020238,0.002177637287346366,0.2613121455034823,0.7970812672110336,120.0,264.4292060641287,0.2857181477823372
263.00727566263424,false,1.0,8.0,12.08730795161091,0.22192050462435312,0.22192050462435312,0.21644524954703,-14.299611212154051,false,-26.302696130074594,256.3868557711529,37.98373332986728,0.21982035279947432,165.98918790657564,-204.37919198826114,0.0025582684207811615,0.3069736507083712,0.8563208207767031,150.0,264.2538871327156,0.3082492081637082
262.6847721258532,false,1.0,8.0,8.217265510238576,0.23236440378424578,0.23236440378424578,0.22594607447022833,-14.201345523573012,false,-24.974439688539235,256.3868557711529,40.22895588846226,0.22590957947958232,192.25987721870334,-225.45158241748115,0.002805992974738906,0.33669340849652496,0.8978568206263415,180.0,264.0637833835128,0.32297830020642126
262.33141526196135,false,1.0,8.0,3.9769831435362444,0.23855573767800264,0.23855573767800264,0.2328175895174196,-13.684185263876222,false,-23.524717208444088,256.3868557711529,42.27979649899368,0.23662484461578015,218.03124076856113,-245.53294112054147,0.002958245043932385,0.3549598357755103,0.9278259097184541,210.0,263.85468778861684,0.33266965170394613
261.9486359630091,false,1.0,8.0,-0.6163684438906784,0.2418276882559021,0.2418276882559021,0.2378769113499227,-12.963840594138428,false,-21.96087929818225,256.3868557711529,44.71019892001454,0.2506249522272083,243.3426812484853,-264.68719210277686,0.00304032855984536,0.3648079563885567,0.9499335026482859,240.0,263.6257439002316,0.3389101820115964
261.53781206336316,false,1.0,8.0,-5.546255239642051,0.2429901872934132,0.2429901872934132,0.24165103610972938,-12.160096630802585,false,-20.29007585743375,256.3868557711529,47.51591438968064,0.26715414034005436,268.1793916349221,-282.9232122527138,0.003069762336384162,0.36833935256011363,0.9665347302867868,270.0,263.37725116871746,0.3426794822702221
