T_s,below_radiative_floor,boundary_layer_depth,geostrophic_wind,ground_heat_flux,kh_surface,km_surface,max_shear,monin_obukhov_length,near_fold,net_radiation,radiative_equilibrium_temperature,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
278.0,false,1.0,10.0,23.999999999999996,0.006960172216033373,0.006960172216033373,0.07841720080263981,-0.04712741066746082,false,-38.658704395200004,269.70223719007373,0.7741735668530763,0.0341853125776047,8.377263279217651,-71.03596767441765,-0.0016849726051179706,0.0001235054494020532,0.07960133000665515,0.0,280.006,0.0166439022688735
277.83581910619193,false,1.0,10.0,22.029829274303207,0.169271818020136,0.169271818020136,0.21388411213310596,-8.0573501859501,false,-37.85939428349366,269.70223719007373,2.777832371441366,0.06813702759381353,187.8327479903268,-247.72197154812366,0.0014834387242806729,0.1780530545021375,0.8017042497128178,30.0,279.68523848175886,0.26048602252650505
277.3947689881662,false,1.0,10.0,16.737227857994636,0.2929083973237587,0.2929083973237587,0.28195420929537557,-20.50884872571114,false,-35.71915943549993,269.70223719007373,3.5684546666400334,0.1383878463029786,270.43209506335484,-322.8884823568494,0.004467295151822096,0.5360220580903186,1.1012628704896295,60.0,278.9335441224985,0.4016025039932392
276.8793292317291,false,1.0,10.0,10.551950780749392,0.32877880667322934,0.32877880667322934,0.3057705352197985,-23.890882449331606,false,-33.23084588790107,269.70223719007373,4.41278786926061,0.13412414284680668,319.1451261540211,-362.9279228226716,0.005632837566595701,0.6758774969430517,1.2130152674488193,90.0,278.4971602256797,0.44654994799475173
276.30881963356717,false,1.0,10.0,3.7058356028060184,0.33977922393931703,0.33977922393931703,0.31521530457978164,-23.29701855168761,false,-30.4928355537848,269.70223719007373,5.534747368834497,0.14191281416070337,362.90285834000787,-397.1015294965987,0.006017304174302677,0.7220111264215041,1.257438672133205,120.0,278.08891110067043,0.46219667684261084
275.68952490314626,false,1.0,10.0,-3.7257011622448313,0.34062006334692285,0.34062006334692285,0.31853422556955824,-21.39967788964736,false,-27.53982961562525,269.70223719007373,7.179192971702591,0.15592698854497442,404.4066425506991,-428.2207710040795,0.006047213623657131,0.7256000890793888,1.2740014700253328,150.0,277.66830167951997,0.46580600115504184
275.0252359780215,false,1.0,10.0,-11.697168263742014,0.33650766958433237,0.33650766958433237,0.31895560102804604,-19.20265414791605,false,-24.394321149416726,269.70223719007373,9.597761721362263,0.1738914710679044,444.46345446324966,-457.1606073489244,0.0059016372076034565,0.7081317690762607,1.277692624782773,180.0,277.2265897392016,0.46365578159381327
274.3190563071886,false,1.0,10.0,-20.17132431373693,0.3296616612333674,0.3296616612333674,0.3179324091393665,-17.075873364745462,false,-21.075354857549087,269.70223719007373,12.819066344813681,0.19482235552492036,483.15939276852504,-484.0634233123372,0.005663225236743941,0.6795238188782831,1.275078536428953,210.0,276.7617596885932,0.4584454757777523
273.574160259457,false,1.0,10.0,-29.1100768865158,0.3211449569889918,0.3211449569889918,0.3161826571013222,-15.145553625514328,false,-17.602094764093806,269.70223719007373,16.586273763003376,0.21819955694853024,520.2395343042696,-508.7315521818475,0.005373490297000283,0.6447576099012696,1.2693489853448814,240.0,276.2740808767278,0.45146706707278345
272.7941648499301,false,1.0,10.0,-38.470021800838815,0.3115102144583557,0.3115102144583557,0.31408604400222345,-13.44163915676677,false,-13.995456910055225,269.70223719007373,20.8359693206229,0.24368053954802418,555.2648001965433,-530.7902353057598,0.0050548878620007495,0.6065277616688008,1.2621736285948504,270.0,275.76498664230706,0.44338469624427884
