T_s,below_radiative_floor,boundary_layer_depth,geostrophic_wind,ground_heat_flux,h_decoupling,h_energy_floor,h_max_energy_gradient,kh_surface,km_surface,max_negative_de_dz,max_shear,monin_obukhov_length,near_fold,net_radiation,pr_t_face_max,pr_t_face_min,pr_t_surface,radiative_equilibrium_temperature,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
278.0,false,2.0,10.0,23.999999999999996,4.0,132.0,44.0,0.01851732129301276,0.01851732129301276,0.09882733778544123,0.07686827944501307,-0.15213759654532158,false,-38.658704395200004,1.0,1.0,1.0,269.70223719007373,0.7437434102830971,0.03557688384293044,11.177055132462504,-51.48164926273749,0.00010813259041617964,0.00045368002055527664,0.15841061354595798,0.0,280.012,0.02708015983729501
278.3071786287936,false,134.0,10.0,27.686143545523464,136.0,136.0,64.0,0.08477020881436692,0.08477020881436692,0.03292171936856175,0.11242321769899512,-3.23625562904577,false,-40.158003167966456,1.0,1.0,1.0,269.70223719007373,0.9793119913192015,0.09181942818038522,19.994301732871158,-47.84984498061876,0.007495808864635038,0.012562010143939865,0.3914797131034498,30.0,279.0933943686752,0.0910848739176378
278.50177145741094,false,138.0,10.0,30.02125748893127,140.0,136.0,76.0,0.11764549589155968,0.11764549589155968,0.01884964117642768,0.12421870534687147,-7.846813669803444,false,-41.110357517697935,1.0,1.0,1.0,269.70223719007373,1.028606705951032,0.12018607208342315,16.858540025777838,-54.27307498085136,0.010443546120558669,0.024450447265586064,0.4543808683441594,60.0,278.9794364372165,0.11560261954210437
278.62333237989435,false,142.0,10.0,31.4799885587322,144.0,140.0,80.0,0.1311866309757383,0.1311866309757383,0.013043233526667593,0.12925325851721103,-11.523690030360296,false,-41.706301248085026,1.0,1.0,1.0,269.70223719007373,1.0259905454797966,0.1408325812270427,14.590017270815917,-58.59627253600131,0.011656780381348325,0.03048132073761752,0.4781107164608299,90.0,278.9940514885489,0.1252215378098879
278.70672238061377,false,142.0,10.0,32.48066856736523,144.0,140.0,84.0,0.13740451796599706,0.13740451796599706,0.009997692540796257,0.13150794168760827,-14.340558569400681,false,-42.11556609313965,1.0,1.0,1.0,269.70223719007373,0.9945264463857545,0.15749403622328512,12.980985541316215,-61.61524911918866,0.012213803040996597,0.033472290427407,0.488541300867629,120.0,279.02163161682313,0.1295451484543108
278.7659664570274,false,146.0,10.0,33.19159748432867,148.0,140.0,84.0,0.14015590390388624,0.14015590390388624,0.00818278243626154,0.13242179750312752,-16.471297366634275,false,-42.40654987812053,1.0,1.0,1.0,269.70223719007373,0.9448554543493011,0.15558343352979478,11.801787699004086,-63.79635966344511,0.01246027159364228,0.03484030843878409,0.49297566595384507,150.0,279.04664883453887,0.13142816485097614
278.80864250883064,false,146.0,10.0,33.70371010596772,148.0,144.0,88.0,0.1410590514197727,0.1410590514197727,0.007023918577619012,0.1326147314808263,-18.055484834618902,false,-42.61627297632606,1.0,1.0,1.0,269.70223719007373,0.8867919911242487,0.14190417534270935,10.914005270670362,-65.40597781162342,0.012541174006476578,0.03529531832103578,0.49428912898809896,180.0,279.06654880553924,0.1320264705108098
278.83940509299816,false,146.0,10.0,34.07286111597795,148.0,144.0,88.0,0.1409057542189152,0.1409057542189152,0.006233979345823301,0.1323927664455104,-19.206870068799805,false,-42.76750941344926,1.0,1.0,1.0,269.70223719007373,0.8288553361441016,0.1328474409508822,10.228991150079901,-66.61137937934731,0.012527441949782026,0.03521787907327459,0.49383744183359224,210.0,279.0813869577981,0.1318944058736969
278.8613226566185,false,150.0,10.0,34.3358718794218,152.0,144.0,84.0,0.1401235530731244,0.1401235530731244,0.0056702089101288745,0.13192197208533107,-20.018174842945477,false,-42.87529209228785,1.0,1.0,1.0,269.70223719007373,0.7763523420865026,0.12671523085022054,9.688480808230567,-67.52268316347909,0.012457373649515421,0.03482406454855373,0.49233658512211037,240.0,279.0917973721046,0.13132778801076228
278.8765149990501,false,150.0,10.0,34.51817998860088,152.0,144.0,84.0,0.13895953572519862,0.13895953572519862,0.005254210289245019,0.13129877217040553,-20.564217252964045,false,-42.9500174719127,1.0,1.0,1.0,269.70223719007373,0.7314505670104399,0.12254188449895916,9.253243674035923,-68.21495378647765,0.012353101970265479,0.03424210481781123,0.4901950368485312,270.0,279.0984799431552,0.13049643168997815
278.8864976470429,false,150.0,10.0,34.63797176451499,152.0,144.0,84.0,0.1375636825766728,0.1375636825766728,0.00492965533115489,0.1305820126974124,-20.904702054702064,false,-42.999124986494564,1.0,1.0,1.0,269.70223719007373,0.694374824941476,0.11973777267576502,8.896241148993699,-68.74085560201586,0.012228061147482682,0.03355068428382953,0.4876591402635255,300.0,279.10206426032244,0.12950307638896535
278.89238330344045,false,150.0,10.0,34.708599641285446,152.0,144.0,80.0,0.13603038724155744,0.13603038724155744,0.004671622276487555,0.12980897567311186,-21.086827568944283,false,-43.02808069312056,1.0,1.0,1.0,269.70223719007373,0.6644852704688338,0.11792269801157353,8.598432844974939,-69.13824748943107,0.012090706254711567,0.03279928710786985,0.48488368941324356,330.0,279.10308212888515,0.1284123397867185
278.8950067243842,false,150.0,10.0,34.74008069261026,152.0,144.0,80.0,0.1344206843757926,0.1344206843757926,0.004459475554716437,0.1290039626509264,-21.147653810894596,false,-43.04098774691903,1.0,1.0,1.0,269.70223719007373,0.6408932364119733,0.11684070173972884,8.346145128431843,-69.43492331109745,0.011946504314508763,0.032019574924616996,0.4819690203869031,360.0,279.1019725190506,0.12726606535948404
