T_s,boundary_layer_depth,geostrophic_wind,ground_heat_flux,kh_surface,km_surface,max_shear,monin_obukhov_length,near_fold,net_radiation,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
264.0,1.0,8.0,23.999999999999996,0.007737936512779234,0.007737936512779234,0.045895865709521366,-0.04166686154006321,false,-30.422087987199973,24.40031568819556,0.17574217670049824,4.689189526744173,-59.111277513944145,-0.0007497225039046049,0.0002767218614839681,0.0464727612222946,0.0,265.01,0.013409013310301103
263.91173358631426,1.0,8.0,22.940803035771065,0.009615703930501067,0.009615703930501067,0.11105875982041026,-0.6703627575398114,false,-30.053931462735818,40.32219005014852,0.12158028360398328,6.46426643401155,-59.459000932518435,-0.0004276077397270023,0.0004817450073697459,0.2952135282747165,30.0,265.0321692265844,0.03767416810075758
263.77223063274204,1.0,8.0,21.26676759290444,0.12160583470998726,0.12160583470998726,0.1492834085403264,-6.758477991377314,false,-29.472821680825746,35.801711668747124,0.23868204958430747,78.69304148461873,-129.43263075834892,0.0007731089744026561,0.0929420617080896,0.5765013458117749,60.0,264.8507567532511,0.18722436722936456
263.55495933847607,1.0,8.0,18.6595120617128,0.17552268051267864,0.17552268051267864,0.18279522505802523,-11.369311925741709,false,-28.569596611247505,35.48227015413018,0.23264081624193345,110.99673310100046,-158.22584177396078,0.0016142341266423724,0.19373713602277884,0.7105493690433935,90.0,264.60892316029094,0.24971737013180414
263.299655756146,1.0,8.0,15.595869073752281,0.2041910422557024,0.2041910422557024,0.2027951814396556,-13.585621350892355,false,-27.511117138695397,36.42244111834157,0.2208141675370705,138.75897279482726,-181.86595900727494,0.0021852682788379226,0.26222753051364744,0.7981569212148696,120.0,264.4322468439002,0.2854614629214132
263.0100863302677,1.0,8.0,12.121035963212533,0.22129506059537957,0.22129506059537957,0.21628262070822452,-14.301631627697954,false,-26.314293587651832,38.00340714295282,0.21975892323988389,165.58530689099098,-204.02063644185534,0.002566955120642844,0.3080157791501622,0.8574282426632986,150.0,264.25717928725686,0.3080135020712278
262.6881568950065,1.0,8.0,8.257882740078003,0.23175531283203035,0.23175531283203035,0.2257899855285912,-14.206473493368815,false,-24.988354751986208,40.21831409462954,0.22581750487340435,191.79840625081394,-225.04464374287815,0.0028154870722651186,0.3378324498520175,0.898991811124609,180.0,264.0674737551542,0.3227585230637739
262.3354468521732,1.0,8.0,4.0253622260786415,0.23796239785558437,0.23796239785558437,0.23266622576574889,-13.691383152546718,false,-23.541224672132955,42.205941379503926,0.2365012220826529,217.51083777924896,-245.07742467746056,0.002968385882121825,0.3561764957753367,0.9289843450701596,210.0,263.8588726800867,0.33246303728624843
261.9533872761879,1.0,8.0,-0.5593526857448977,0.24125012037148197,0.24125012037148197,0.23772905142656472,-12.972416136796516,false,-21.98024873296015,44.615408340746754,0.25046851453807834,242.76222262517777,-264.183118672393,0.003051007904691914,0.36608923792368336,0.9511120722993119,240.0,263.6305002399132,0.3387151472321386
261.5433555997692,1.0,8.0,-5.479732802769603,0.2424288169771171,0.2424288169771171,0.24150577477025756,-12.16957366670242,false,-20.312568849024785,47.49616696072089,0.266963111718029,267.5383041364019,-282.3711401826571,0.003080904978273744,0.3696762241385462,0.9677307964341612,270.0,263.382646733227,0.34249513290837946
