T_s,boundary_layer_depth,geostrophic_wind,ground_heat_flux,kh_surface,km_surface,max_shear,monin_obukhov_length,near_fold,net_radiation,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
264.0,1.0,8.0,23.999999999999996,0.007737936512779234,0.007737936512779234,0.045895865709521366,-0.04166686154006321,false,-30.422087987199973,2.3661466287965442,0.17574217670049824,4.689189526744173,-59.111277513944145,-0.0007497225039046049,0.0002767218614839681,0.0464727612222946,0.0,265.01,0.013409013310301103
263.9117348764149,1.0,8.0,22.940818516979107,0.009602212158276809,0.009602212158276809,0.11056814832928996,-0.6680419117475843,false,-30.05393684100767,9.520487741390193,0.12220971866743986,6.454161343070475,-59.44891670105725,-0.0004290907452043661,0.000480113662458901,0.2946381472031653,30.0,265.0319908543577,0.037611022316379444
263.7745733919639,1.0,8.0,21.2948807035666,0.11643352157866856,0.11643352157866856,0.1439352988939228,-6.410508264383212,false,-29.482573007558074,11.686725909003306,0.24985778994561517,75.32523720478288,-126.10269091590756,0.0007083512095086703,0.0851955875682082,0.5645579539325957,60.0,264.85280292849086,0.1812918513221428
263.5667075423241,1.0,8.0,18.80049050788898,0.1623204613926089,0.1623204613926089,0.17117167031453295,-10.24498861581882,false,-28.618378334790975,13.811795541488122,0.25631680728422124,101.01396511914399,-148.43283396182395,0.0013801944821213636,0.1656742363922265,0.6731624969488076,90.0,264.603894148914,0.2337392212455273
263.33270366534344,1.0,8.0,15.992443984121335,0.18246462636221725,0.18246462636221725,0.18461059348436115,-11.757656515430359,false,-27.647959221994427,15.884734876117571,0.2525238142191836,119.28787233224296,-162.92827553835872,0.0017446125380326857,0.20937290874161774,0.733382608801573,120.0,264.42230182207913,0.2586661783994258
263.0794085918417,1.0,8.0,12.952903102100208,0.19187016969239815,0.19187016969239815,0.1921341174970337,-12.013869725796141,false,-26.6004507910788,18.058272501241476,0.2581630028777153,134.84628594327043,-174.39963983644944,0.0019293084405361625,0.23152499256762232,0.7677828265543118,150.0,264.25074132306173,0.27139880362474417
262.8105195267892,1.0,8.0,9.726234321470656,0.19574511149346555,0.19574511149346555,0.19649630323784684,-11.678452821747296,false,-25.49175888348367,20.33246873852661,0.27036934914436456,148.60996090304585,-183.82795410800017,0.0020080945923998026,0.2409750962483237,0.7879448304528268,180.0,264.07585517824947,0.27770159226018887
262.5286995962514,1.0,8.0,6.3443951550166275,0.19644421736682846,0.19644421736682846,0.19901738233625374,-11.08295916458764,false,-24.333396717400774,22.956294443973658,0.28684121750428554,161.02191312055453,-191.69970499297193,0.002022476403539096,0.24270017617851206,0.7998695106038975,210.0,263.8948373161507,0.2802942561007724
262.2360622721537,1.0,8.0,2.832747265844091,0.19517897742273072,0.19517897742273072,0.20041507550007462,-10.390739120815152,false,-23.134513424289253,25.91411953089752,0.3062540828118973,172.31662893817173,-198.28388962830508,0.0019964857478083826,0.2395826378659967,0.806827385508579,240.0,263.7075034353154,0.28060269426737494
261.9344162766139,1.0,8.0,-0.7870046806333448,0.192628947408223,0.192628947408223,0.20110713573612216,-9.68267318404389,false,-21.90291692891151,29.26343160144426,0.32781074846979114,182.61325445495865,-203.7291667032368,0.0019446122685474708,0.23336060256271765,0.8107023092161676,270.0,263.51442503535253,0.27943222119659544
