T_s,below_radiative_floor,boundary_layer_depth,geostrophic_wind,ground_heat_flux,h_decoupling,h_energy_floor,h_max_energy_gradient,kh_surface,km_surface,max_negative_de_dz,max_shear,monin_obukhov_length,near_fold,net_radiation,pr_t_face_max,pr_t_face_min,pr_t_surface,radiative_equilibrium_temperature,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
264.0,false,1.0,8.0,23.999999999999996,2.0,2.0,46.0,0.01008891222273232,0.01008891222273232,0.012778965127287989,0.045895865709521366,-0.047577364683383375,false,-30.422087987199973,1.0,1.0,1.0,256.3868557711529,2.3661466287965442,0.17574217670049824,6.1138808069757316,-48.30820718022424,-0.00016314384220709522,0.0004551989663936773,0.0464727612222946,0.0,265.01,0.015311100690670945
263.9978194380601,false,1.0,8.0,23.97383325672126,2.0,2.0,62.0,0.010797045085374987,0.010797045085374987,0.006245002177146929,0.08399573621549467,-0.4204882684428781,false,-30.412988479902197,1.0,1.0,1.0,256.3868557711529,3.8933261201586546,0.3015898596265354,3.9740400290958933,-50.412781707527564,0.0009102764891238131,0.0005450821783672567,0.1392890862088702,30.0,264.61126506101715,0.027421802855555056
264.01768942921996,false,1.0,8.0,24.212273150639472,2.0,116.0,70.0,0.013580990493062831,0.013580990493062831,0.003992491939771074,0.10311584715131145,-1.1222776090359805,false,-30.495914490752796,1.0,1.0,1.0,256.3868557711529,4.241392678763949,0.40418343154986386,3.3357971838122134,-51.37239045758005,0.0018907882274659582,0.0009637865594991701,0.18959771718188964,60.0,264.42706030506736,0.035881226251019194
264.0310153896082,false,143.0,8.0,24.37218467529874,144.0,118.0,78.0,0.01631668487062305,0.01631668487062305,0.0028743914006992208,0.1144978180648229,-1.7840217633954576,false,-30.551539939385805,1.0,1.0,1.0,256.3868557711529,4.383696657515494,0.47079164512327404,3.3545275900256604,-51.569197024658884,0.0025010443270204975,0.0014767193043156263,0.21575142692582067,90.0,264.3736633822023,0.04195442791610841
264.0407491143764,false,147.0,8.0,24.488989372516922,148.0,120.0,82.0,0.018382071333918663,0.018382071333918663,0.0022162887008936386,0.12178300341772892,-2.332347653217565,false,-30.59217594069912,1.0,1.0,1.0,256.3868557711529,4.428618666458158,0.39026321213521736,3.413112202462293,-51.668053110753746,0.0029067920943423573,0.0019306163856302348,0.23163243819058235,120.0,264.3502093614891,0.04614045948009616
264.04788766600717,false,149.0,8.0,24.574651992086046,150.0,120.0,86.0,0.01989987588854146,0.01989987588854146,0.001787720797746608,0.12674895913650341,-2.7804931986621555,false,-30.621980563924524,1.0,1.0,1.0,256.3868557711529,4.412273017213746,0.3400582538819429,3.4477769612457743,-51.74885559476479,0.0031917013592666892,0.0023007267691718828,0.24218926581694428,150.0,264.336648006403,0.049089389542416234
264.0529129764994,false,149.0,8.0,24.634955717992625,150.0,122.0,88.0,0.021030479752392812,0.021030479752392812,0.0014915036344765077,0.13028947385721548,-3.1481187558036683,false,-30.64296350886849,1.0,1.0,1.0,256.3868557711529,4.352135178854281,0.3074447067526051,3.461636827064247,-51.81628239979687,0.0033995178182155777,0.002596544136057753,0.24961488775076074,180.0,264.32724788372457,0.05123241572841446
264.05616265102117,false,151.0,8.0,24.673951812254014,152.0,122.0,92.0,0.021887807927204257,0.021887807927204257,0.0012783560897872814,0.13289603010046824,-3.451767811841409,false,-30.656533008125734,1.0,1.0,1.0,256.3868557711529,4.260453363923814,0.2847759763045152,3.4620173266487293,-51.86846749373102,0.0035553074929621327,0.0028323145892631373,0.25504072267448197,210.0,264.31978104976344,0.052831251885197786
264.05790430600564,false,153.0,8.0,24.694851672067667,154.0,122.0,94.0,0.02254826741645737,0.02254826741645737,0.0011190084691506397,0.1348604317066232,-3.704317555038864,false,-30.663805753739382,1.0,1.0,1.0,256.3868557711529,4.148309592630086,0.2682467045430278,3.454225638043861,-51.90443178776319,0.0036744882863995634,0.0030206821989184865,0.2591138875054309,240.0,264.3132251527804,0.054048909456113486
264.0583587564101,false,153.0,8.0,24.700305076921037,154.0,124.0,96.0,0.02306370555740494,0.02306370555740494,0.0009961400626043795,0.13636676658518795,-3.915697397105291,false,-30.665703456468634,1.0,1.0,1.0,256.3868557711529,4.025940575149475,0.25576346236466246,3.4416629885903256,-51.924345544799344,0.003767074734224144,0.0031717622478382645,0.2622328827133312,270.0,264.3070657548023,0.054991190177926565
