T_s,below_radiative_floor,boundary_layer_depth,geostrophic_wind,ground_heat_flux,kh_surface,km_surface,max_shear,monin_obukhov_length,near_fold,net_radiation,radiative_equilibrium_temperature,ri_max,ri_min,sensible_heat_flux,storage,surface_delta,surface_e_xi,surface_wind_speed,t,theta_surface,u_star
264.0,false,1.0,8.0,23.999999999999996,0.008737936512779234,0.008737936512779234,0.045895865709521366,-0.04427745518110828,false,-30.422087987199973,256.3868557711529,24.40031568819556,0.17574217670049824,5.295189526744168,-49.126898460455806,-0.0007497225039046049,0.0002767218614839681,0.0464727612222946,0.0,265.01,0.014249140976458175
263.9278520363158,false,1.0,8.0,23.134224435789744,0.010738758954116082,0.010738758954116082,0.11135733758727251,-0.7187003609947616,false,-30.121133464831473,256.3868557711529,40.32220193777005,0.12531605759174524,7.0874930676659815,-46.16786483295523,-0.00041443701915395775,0.0004967298080541423,0.29442238897585266,30.0,265.0278384031373,0.039760099760354516
263.90914852688087,false,1.0,8.0,22.909782322570432,0.12778905490937004,0.12778905490937004,0.15059542115347477,-7.758113242144423,false,-30.043154824598105,256.3868557711529,35.74141358785028,0.22680240795780907,72.82423119870272,19.871294051534182,0.0008407929975561173,0.10104258015030165,0.5711615178840097,60.0,264.85894597823994,0.19103427777626567
263.95014885062267,false,1.0,8.0,23.401786207472014,0.18505532226674862,0.18505532226674862,0.18346043615603752,-15.675132507765536,false,-30.214114969730588,256.3868557711529,35.46499844761056,0.19028451589457598,85.76670020155527,32.150799024352665,0.0017751981641888626,0.2130411279360408,0.7029907595842566,90.0,264.72259083491684,0.2550413511231179
264.0023584789786,false,1.0,8.0,24.028301747742944,0.21679044149685814,0.21679044149685814,0.20286689138751912,-22.19709875692903,false,-30.43193019794893,256.3868557711529,36.401913492425265,0.1549165231888748,91.33131165797373,36.871079712281855,0.002440771418392065,0.29287793000182594,0.7891054776732683,120.0,264.7045059155181,0.29246412163919955
264.05940484746844,false,1.0,8.0,24.71285816962131,0.23706230861041883,0.23706230861041883,0.21588937036499267,-27.35449309828446,false,-30.670071780841397,256.3868557711529,37.99730627379365,0.13294604325923098,94.21727485974284,38.834344909280134,0.0029211522666140986,0.35050959671699233,0.8468533548703936,150.0,264.72179944049066,0.31682567080340396
264.1179981633768,false,1.0,8.0,25.415977960521555,0.250861566748144,0.250861566748144,0.2249815892903277,-31.51552279143578,false,-30.9148318658942,256.3868557711529,40.19839375767285,0.11858330762814386,95.39090911247588,39.06009928606012,0.003272787272018425,0.3926981347729579,0.8867845552222163,180.0,264.7517534674741,0.33351174109100057
264.176031499409,false,1.0,8.0,26.11237799290825,0.2606003420330916,0.2606003420330916,0.23145687899426132,-34.95623932181165,false,-31.157413385962798,256.3868557711529,42.141565089867264,0.10852579734345057,95.44175800116832,38.171966622297276,0.003532965248945743,0.4239148039875442,0.9150223244474902,210.0,264.78642822961905,0.3452934481849681
264.2321692508992,false,1.0,8.0,26.78603101079011,0.2676233958036794,0.2676233958036794,0.23611625729408428,-37.85983876337431,false,-31.392223461997048,256.3868557711529,44.48429047109828,0.10109032946824834,94.76805303969034,36.589798566903184,0.0037267604213951752,0.4471671580721398,0.9352642136207886,240.0,264.8223521629418,0.3537644589432729
264.2855978987567,false,1.0,8.0,27.427174785080293,0.27274870683742,0.27274870683742,0.2394778638509677,-40.347382005362476,false,-31.615841084485794,256.3868557711529,47.28013552281669,0.09536844428718386,93.64164132378825,34.59862545422216,0.003871452345621734,0.46452809953217056,0.9498567937463624,270.0,264.8578074025742,0.3599112475146187
264.3358582203053,false,1.0,8.0,28.030298643663397,0.2765045205442721,0.2765045205442721,0.24189047575563327,-42.50064510525233,false,-31.826321983398145,256.3868557711529,49.8449807022529,0.09083444447299463,92.24818488666622,32.39156425960468,0.0039792304589329214,0.4774600154774078,0.9603537732061093,300.0,264.8918960547265,0.3643776609599152
264.38273027320196,false,1.0,8.0,28.592763278423487,0.2792473604073714,0.2792473604073714,0.2435962466999874,-44.376667520505336,false,-32.02272166531225,256.3868557711529,52.12679787406679,0.08716435159248681,90.71391560507655,30.098430661340817,0.004058874192302952,0.4870162360672251,0.9678199525052976,330.0,264.92414939036473,0.3676011201606246
264.42615399394396,false,1.0,8.0,29.11384792732747,0.2812261945017359,0.2812261945017359,0.2447675983376548,-46.016743110100755,false,-32.204765647864235,256.3868557711529,55.51680889886638,0.08414734553895747,89.123878905359,27.805265330167302,0.004116823250192115,0.49396940044543514,0.9730058472412306,360.0,264.95434020518496,0.3698883153382847
264.46617427156957,false,1.0,8.0,29.594091258834847,0.2826197096844984,0.2826197096844984,0.24552992598778797,-47.451983219278574,false,-32.3726209118073,256.3868557711529,57.698771132580326,0.08163969083769497,87.53452967413821,25.567817503496062,0.004157877888644676,0.49889545733617063,0.9764529379129981,390.0,264.9823834310549,0.37145985370800644
264.5029029517179,false,1.0,8.0,30.034835420614623,0.2835590675625682,0.2835590675625682,0.2459760782383162,-48.70677711452325,false,-32.52673744855019,256.3868557711529,60.77862594014618,0.07953939475281033,85.98248158922284,23.420908720058026,0.004185667368016897,0.5022298621658527,0.9785596145183625,420.0,265.00827961702385,0.3724778193713104
264.53649263924905,false,1.0,8.0,30.437911670988566,0.28414238440985695,0.28414238440985695,0.24617587916435602,-49.80096921298163,false,-32.667738733169074,256.3868557711529,64.04417609775493,0.07777156146733105,84.4906105076443,21.384960103486666,0.004202970468572845,0.5043060293025248,0.9796239406023944,450.0,265.03208109034153,0.3730634545943521
264.56711870881753,false,1.0,8.0,30.805424505810375,0.2844442471693632,0.2844442471693632,0.24618254878098234,-50.75124037825695,false,-32.79634629555221,256.3868557711529,66.1870363961238,0.07627955194434625,83.07231630090047,19.47054549953788,0.004211938718696071,0.5053821137638841,0.9798721507106316,480.0,265.05387089972777,0.3733088508400989
264.59496707060964,false,1.0,8.0,31.139604847315695,0.2845221511286452,0.2845221511286452,0.24603713322233928,-51.57199227201239,false,-32.913328250758184,256.3868557711529,68.38174829561724,0.07501944541765715,81.73450932759351,17.681576229519635,0.004214254772200425,0.5056600129981833,0.9794781317364504,510.0,265.0737494138201,0.37328489456788994
264.6202259437918,false,1.0,8.0,31.4427113255017,0.2844209555170257,0.2844209555170257,0.24577161925984517,-52.27591750200096,false,-33.01946455173078,256.3868557711529,70.88027049388717,0.07395644407819009,80.47970248933919,16.01752661210671,0.004211246390746325,0.5052990425423808,0.9785770093588841,540.0,265.0918256444482,0.373046785302358
264.64308043473244,false,1.0,8.0,31.716965216789273,0.2841760337879372,0.2841760337879372,0.24541116301179283,-52.87437225291172,false,-33.115523974595476,256.3868557711529,73.34416564827968,0.07306246653681309,79.30747636986665,14.4749871784819,0.004203969708225861,0.5044259262778651,0.9772748067462584,570.0,265.10821159136526,0.3726379466063705
264.6637090723412,false,1.0,8.0,31.9645088680943,0.28381554137333376,0.28381554137333376,0.24497570951908412,-53.377622554094344,false,-33.20224931332763,256.3868557711529,75.60384796504331,0.07231449371944124,78.21550532608727,13.048747144665342,0.004193270832867307,0.5031421876876447,0.9756554240524532,600.0,265.1230185763687,0.37209284618981625
264.6822817042106,false,1.0,8.0,32.18738045052714,0.2833620745173572,0.2833620745173572,0.24448118600760113,-53.795010548143345,false,-33.280348299953914,256.3868557711529,77.59324423184238,0.07169340174877695,77.20027398173394,11.732545231252892,0.004179831962013114,0.5015296829398384,0.9737857560579442,630.0,265.1363549019808,0.3714390609319597
264.6989583329338,false,1.0,8.0,32.38749999520542,0.28283390140849485,0.28283390140849485,0.2439403922381878,-54.1350703946833,false,-33.350488494225885,256.3868557711529,79.29237869922139,0.07118311931386788,76.25757511999862,10.519586630567318,0.004164206284821854,0.49965478872360075,0.9717194949323159,660.0,265.14832440220766,0.37069881023979495
264.7138885969387,false,1.0,8.0,32.56666316326459,0.28224588777910664,0.28224588777910664,0.24336367246440177,-54.4056125955646,false,-33.41329490543933,256.3868557711529,80.70972544639723,0.07077000644162451,75.3828530554074,9.402894986703473,0.004146844664506398,0.497571603765569,0.9694999899149824,690.0,265.1590255993386,0.3698901089211424
264.7272116869533,false,1.0,8.0,32.72654024343956,0.28161020101654327,0.28161020101654327,0.24275942787715074,-54.613788670974174,false,-33.46934946993076,256.3868557711529,81.90718664639405,0.07044238766613983,74.57143772674586,8.375548013375536,0.004128116226245406,0.4953244191210192,0.9671624213810233,720.0,265.168551273005,0.36902764388373177
264.73905655085247,false,1.0,8.0,32.86867861022961,0.2809368515479418,0.2809368515479418,0.2421345111883834,-54.76614372417956,false,-33.51919176466106,256.3868557711529,83.05453108048235,0.0701901950390184,73.8187014782528,7.430831103362138,0.004108324379827901,0.4929496406989789,0.964735470223841,750.0,265.1769883083009,0.3681234477599254
264.7495422833108,false,1.0,8.0,32.99450739972963,0.2802341132372687,0.2802341132372687,0.24149453312532582,-54.86866154398788,false,-33.563320519708384,256.3868557711529,84.4969748464025,0.07000469070793569,73.12016127125784,6.562333351819831,0.004087719390247574,0.4904772975884431,0.9622426116204886,780.0,265.1844177310009,0.3671874214802171
264.75877862757693,false,1.0,8.0,33.105343530923165,0.279508852676416,0.279508852676416,0.24084410242701723,-54.926804965218686,false,-33.60219562183045,256.3868557711529,86.50994640742462,0.06987824827923748,72.47154250936906,5.764003356615447,0.004066508310266685,0.48793223385517515,0.9597031258771302,810.0,265.1909148659311,0.36622774309429834
264.7668665383534,false,1.0,8.0,33.2023984602406,0.2787667892623348,0.2787667892623348,0.24018701526682157,-54.94555291271839,false,-33.63624039218348,256.3868557711529,87.4775863532635,0.06980417833486365,71.8688163038638,5.030177451439712,0.004044862883015791,0.4853350567679894,0.9571328945608517,840.0,265.19654957492816,0.3652511902198906
264.7738987719595,false,1.0,8.0,33.28678526351427,0.27801270214232976,0.27801270214232976,0.23952640572847697,-54.92943558686853,false,-33.66584399364251,256.3868557711529,87.40548715102987,0.06977658788421387,71.30821759182753,4.355588334670749,0.004022925868802261,0.48270289594886284,0.9545450315981664,870.0,265.201386539259,0.36426339615115166
