case_dir,T_s_min,T_s_max,rad_floor_breach_frac,min_surface_minus_radiative_eq,min_surface_kh,max_surface_energy_closure_error
gabls1,196.505,1767.478,0.6873265494912119,-59.88228462543796,0.005002132611978428,0
idealized_sbl,193.372,1814.526,0.757631822386679,-76.33002147906973,0.004999710007932166,0
llj_regime,99.486,1861.036,0.8546968995835261,-156.90128342862073,0.005006787394946717,0
collapse_test,231.837,1623.179,0.758501040943789,-37.8653375061906,0.0030055987760415057,0
bistable_dt10,149.741,1867.055,0.7932736809626658,-119.96127584049313,0.005001046940562185,0
bistable_dt60,149.743,1814.216,0.7911275415896488,-119.95965471526392,0.005001047868555385,0
scm_verify,266.699,278.000,0,-3.0028875999402658,0.013062664594994555,0
